handle,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age
Alok8172,0,1,0,1,7,39,102,Tue May 09 04:23:27 2017,0.142857142857
AlokAmar1,1,0,0,1,1,18,48,Sun May 14 05:13:18 2017,1.0
AlokAmar3,1,0,0,1,1,22,71,Sun May 14 05:15:07 2017,1.0
AlokNig36508557,2,0,0,2,3,2,1,Sat May 13 07:45:37 2017,0.666666666667
AlokPChopraRN,1,0,0,1,1,0,0,Thu May 11 15:00:05 2017,1.0
AlokSharanShri,1,0,0,1,1,7,29,Sun May 14 04:36:26 2017,1.0
AlpanaShrivast2,1,0,0,1,2,3,71,Sun May 14 00:49:27 2017,0.5
Amal96257242,0,1,0,1,18,0,20,Sun May 14 16:34:13 2017,0.0555555555556
AmalSatsangi1,0,1,0,1,18,0,54,Sun May 14 15:33:00 2017,0.0555555555556
Aman01690461,1,0,0,1,1,1,21,Sun May 14 06:32:33 2017,1.0
AmanKetu9876,1,0,0,1,2,0,20,Sun May 14 05:40:04 2017,0.5
AmanKum84641443,1,0,0,1,1,0,21,Sun May 14 04:04:19 2017,1.0
AmanSah2017,1,58,0,59,87,13,78,Sun May 14 08:19:10 2017,0.67816091954
AmanSheel,1,0,0,1,61,206,98,Sun Jun 30 10:21:52 2013,0.016393442623
Amanarshsara,1,0,0,1,1,0,0,Sun May 14 16:20:12 2017,1.0
Amandeesing,0,1,0,1,4,0,20,Sun May 14 01:39:22 2017,0.25
Amanraj29090566,1,0,0,1,1,0,20,Sun May 14 00:35:13 2017,1.0
